ID,이름,설명,가챠 확률,평점 증가,분당 증가 팁,희귀도(별),등급,구매 수단,금액,착용시 강화 TYPE ID,단위,스킨 적용 ID,비고
SKIN_CUSTOMER01,코디,배고픈 가을곰\n늘 옆구리에 꿀단지를 들고 다닌다,0.2,0,0,3,레어,가챠,,,,CUSTOMER01,
SKIN_CUSTOMER02,삼색이,고등어 애호가 고양이\n고등어만 좋아한다,0.2,0,0,3,레어,가챠,,,,CUSTOMER02,
SKIN_CUSTOMER03,미오,구미호 선생님 여우\n학교에서 어린 여우들을 가르치고 있다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE02,5%,CUSTOMER03,
SKIN_CUSTOMER04,흑우,가출한 소\n'누런 소가 검은 소 보다 일을 잘한다' 는 말을 듣고 토라져 가출했다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE02,5%,CUSTOMER04,
SKIN_CUSTOMER05,레버,외국에서 온 토끼\n한국 문화와 음식에 푹 빠져있다,0.2,0,0,3,레어,가챠,,,,CUSTOMER05,
SKIN_CUSTOMER06,페코,어린 병아리\n빨리 어른이 되고 싶어 앵무새의 깃털을 뽑아 머리에 붙였다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE04,10%,CUSTOMER06,
SKIN_CUSTOMER07,바둑이,스트릿 출신 강아지\n요즘 흔히들 말하는 MZ 강아지이다,0.2,0,0,3,레어,가챠,,,,CUSTOMER07,
SKIN_CUSTOMER08,윙키,이웃 뱁새\n가게 옥상에서 둥지를 틀고 살고 있다,0.2,0,0,3,레어,가챠,,,,CUSTOMER08,
SKIN_CUSTOMER09,벨라,겨울 순록\n따뜻한 해는 좋아하지만 뜨거운 여름은 싫어한다,0.2,0,0,3,레어,가챠,,,,CUSTOMER09,
SKIN_CUSTOMER10,로어,마니아 사자\n자신이 좋아하는 캐릭터 코스프레를 즐겨한다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE01,5%,CUSTOMER10,
