ID,이름,속성,속성id,평점 증가,수입증가 (계산대로 축적) 1분당,해제 최소 평점,구매 수단,가격
WALLPAPER01,평범한 벽지,내추럴,SET01,0,4,0,코인,0
WALLPAPER02,세련된 벽지,모던,SET02,15,7,150,코인,16000
WALLPAPER03,다이너 벽지,빈티지,SET03,30,11,350,코인,70000
WALLPAPER04,황실 벽지,전통적,SET04,50,12,550,코인,140000
WALLPAPER05,노트 벽지,내추럴,SET01,100,16,800,코인,280000
WALLPAPER06,한옥 벽지,전통적,SET04,120,20,1100,코인,400000
WALLPAPER07,도트 가든 벽지,내추럴,SET01,140,25,2000,코인,530000
WALLPAPER08,아가일 벽지,빈티지,SET03,180,30,3000,코인,700000
WALLPAPER09,화이트 브릭 벽지,모던,SET02,230,38,4000,코인,850000
WALLPAPER10,버터톤 벽지,트로피컬,SET05,270,42,4500,코인,1000000
WALLPAPER11,샌디 크림 벽지,트로피컬,SET05,0,23,0,다이아,30
WALLPAPER12,대들보 벽지,빈티지,SET03,360,52,5700,코인,1400000
WALLPAPER13,으스스한 벽지,럭셔리,SET06,0,29,0,다이아,50
WALLPAPER14,폭신 폭신 벽지,코지,SET07,0,32,0,다이아,60
WALLPAPER15,럭셔리 화이트 벽지,럭셔리,SET06,195,50,3500,코인,1300000
WALLPAPER16,아르 누에보 벽지,럭셔리,SET06,500,89,26500,코인,2525000
WALLPAPER17,꽃무늬 가정 벽지,코지,SET07,450,62,6900,코인,1785000
WALLPAPER18,세련된 격자 벽지,모던,SET02,250,40,4300,코인,950000
WALLPAPER19,TEST_WALLPAPER01,내추럴,SET01,0,0,0,코인,0
WALLPAPER20,TEST_WALLPAPER02,내추럴,SET01,0,0,0,코인,0
WALLPAPER21,TEST_WALLPAPER03,내추럴,SET01,0,0,0,코인,0
WALLPAPER22,TEST_WALLPAPER04,내추럴,SET01,0,0,0,코인,0
WALLPAPER23,TEST_WALLPAPER05,내추럴,SET01,0,0,0,코인,0
WALLPAPER24,TEST_WALLPAPER06,내추럴,SET01,0,0,0,코인,0
WALLPAPER25,TEST_WALLPAPER07,내추럴,SET01,0,0,0,코인,0
WALLPAPER26,TEST_WALLPAPER08,내추럴,SET01,0,0,0,코인,0
WALLPAPER27,TEST_WALLPAPER09,내추럴,SET01,0,0,0,코인,0
WALLPAPER28,TEST_WALLPAPER10,내추럴,SET01,0,0,0,코인,0
WALLPAPER29,TEST_WALLPAPER11,내추럴,SET01,0,0,0,코인,0
WALLPAPER30,TEST_WALLPAPER12,내추럴,SET01,0,0,0,코인,0
WALLPAPER31,TEST_WALLPAPER13,내추럴,SET01,0,0,0,코인,0
WALLPAPER32,TEST_WALLPAPER14,내추럴,SET01,0,0,0,코인,0
WALLPAPER33,TEST_WALLPAPER15,내추럴,SET01,0,0,0,코인,0
WALLPAPER34,TEST_WALLPAPER16,내추럴,SET01,0,0,0,코인,0
WALLPAPER35,TEST_WALLPAPER17,내추럴,SET01,0,0,0,코인,0
WALLPAPER36,TEST_WALLPAPER18,내추럴,SET01,0,0,0,코인,0
WALLPAPER37,TEST_WALLPAPER19,내추럴,SET01,0,0,0,코인,0
WALLPAPER38,TEST_WALLPAPER20,내추럴,SET01,0,0,0,코인,0
WALLPAPER39,TEST_WALLPAPER21,내추럴,SET01,0,0,0,코인,0
WALLPAPER40,TEST_WALLPAPER22,내추럴,SET01,0,0,0,코인,0
WALLPAPER41,TEST_WALLPAPER23,내추럴,SET01,0,0,0,코인,0
WALLPAPER42,TEST_WALLPAPER24,내추럴,SET01,0,0,0,코인,0
WALLPAPER43,TEST_WALLPAPER25,내추럴,SET01,0,0,0,코인,0
WALLPAPER44,TEST_WALLPAPER26,내추럴,SET01,0,0,0,코인,0
WALLPAPER45,TEST_WALLPAPER27,내추럴,SET01,0,0,0,코인,0
WALLPAPER46,TEST_WALLPAPER28,내추럴,SET01,0,0,0,코인,0
