ID,이름,속성,속성id,평점 증가,설거지 속도 (n%)증가,해제 최소 평점,구매 수단,가격,그릇 최대 적재량
SINK01,오래된 나무 싱크대,내추럴,KITCHEN01,5,1,130,코인,23000,7
SINK02,오두막의 싱크대,모던,KITCHEN02,10,1.5,260,코인,85000,8
SINK03,정돈된 싱크대,빈티지,KITCHEN03,60,2,440,코인,160000,9
SINK04,황실 싱크대,전통적,KITCHEN04,90,2.5,590,코인,320000,10
SINK05,바닐라 클린 싱크대,모던,KITCHEN02,120,3,820,코인,440000,11
SINK06,통나무 싱크대,전통적,KITCHEN04,160,3.5,2500,코인,570000,12
SINK07,단아한 싱크대,전통적,KITCHEN04,220,4,4500,코인,800000,13
SINK08,우드 브루 싱크대,모던,KITCHEN02,330,4.5,6750,코인,1200000,14
SINK09,퍼플 바인 싱크대,빈티지,KITCHEN03,594,5,12150,코인,2160000,15
SINK10,오르간 싱크대,트로피컬,KITCHEN05,0,3,0,다이아,60,16
SINK11,럭셔리 민트 싱크대,럭셔리,KITCHEN06,0,4,0,다이아,70,14
SINK12,가정집 싱크대,코지,KITCHEN07,982,6.5,19150,코인,3575000,18
