ID,이름,속성,속성id,평점 증가,수입 증가(계산대로 축적)1분마다,해제 최소 평점,구매 수단,가격,배치 층
COOKTOOL01,기초 요리 도구,내추럴,KITCHEN01,10,5,0,코인,3000,1층
COOKTOOL02,셰프의 도구,모던,KITCHEN02,15,10,100,코인,10000,1층
COOKTOOL03,오두막 조리 도구,빈티지,KITCHEN03,30,20,220,코인,45000,1층
COOKTOOL04,강렬한 조리 도구,전통적,KITCHEN04,50,30,500,코인,100000,1층
COOKTOOL05,브런치 조리 도구,모던,KITCHEN02,130,60,1000,코인,300000,1층
COOKTOOL06,고수의 조리 도구,전통적,KITCHEN04,160,90,1400,코인,390000,1층
COOKTOOL07,친환경 조리 도구,전통적,KITCHEN04,230,163,2400,코인,650000,1층
COOKTOOL08,엄마손 조리 도구,모던,KITCHEN02,260,193,2800,코인,770000,1층
COOKTOOL09,주방 걸이 도구,빈티지,KITCHEN03,340,263,3800,코인,1050000,1층
COOKTOOL10,바닷속 조리 도구,트로피컬,KITCHEN05,90,15,0,다이아,25,2층
COOKTOOL11,매니아의 조리 도구,럭셔리,KITCHEN06,110,20,0,다이아,35,2층
COOKTOOL12,시골집 조리 도구,코지,KITCHEN07,320,244,3600,코인,975000,1층
COOKTOOL13,발바닥 도구,내추럴,KITCHEN01,160,20,0,다이아,80,2층
COOKTOOL14,숲의 조리 도구,내추럴,KITCHEN01,320,78,0,다이아,310,2층
COOKTOOL15,모던 아트 조리 도구,모던,KITCHEN02,190,28,0,다이아,110,2층
COOKTOOL16,로봇 조리 도구,모던,KITCHEN02,320,78,0,다이아,310,2층
COOKTOOL17,하트 업 조리 도구,빈티지,KITCHEN03,190,60,0,다이아,240,2층
COOKTOOL18,파이프 라인 도구,빈티지,KITCHEN03,320,78,0,다이아,310,2층
COOKTOOL19,버팔로 조리 도구,전통적,KITCHEN04,190,70,0,다이아,280,2층
COOKTOOL20,석상의 조리 도구,전통적,KITCHEN04,190,70,0,다이아,280,2층
COOKTOOL21,산호초 조리 도구,트로피컬,KITCHEN05,190,60,0,다이아,240,2층
COOKTOOL22,선장님의 도구,트로피컬,KITCHEN05,320,78,0,다이아,310,2층
COOKTOOL23,고스트 조리 도구,럭셔리,KITCHEN06,190,60,0,다이아,240,2층
COOKTOOL24,수정구 조리 도구,럭셔리,KITCHEN06,320,78,0,다이아,310,2층
COOKTOOL25,천상의 조리 도구,코지,KITCHEN07,220,45,0,다이아,180,2층
COOKTOOL26,코튼 트레이 도구,코지,KITCHEN07,320,78,0,다이아,310,2층
