ID,이름,응원봉 크기,응원봉_anim_Left_Pos_X,응원봉_anim_Left_Pos_Y,응원봉_anim_Right_Pos_X,응원봉_anim_Right_Pos_Y,응원봉_idle_Left_Pos_X,응원봉_idle_Left_Pos_Y,응원봉_idle_Right_Pos_X,응원봉_idle_Right_Pos_Y
SKIN_STAFF24,젠틀 라라,0.7,-25,-35,1,-35,-25,-12,1,-12
SKIN_STAFF25,젠틀 와와,0.5,11,-60,-4,-60,11,-40,-4,-40
SKIN_STAFF34,스윗 라라,0.7,-22,-30,-5,-30,-22,-9,-5,-9
SKIN_STAFF35,캔디 와와,0.6,10,-55,-8,-55,10,-27,-3,-27
SKIN_STAFF44,라라 메이,0.7,-24,-27,-1,-27,-24,-5,-1,-5
SKIN_STAFF45,샤오룽 와,0.8,14,-46,-27,-3,14,-37,27,-1
SKIN_STAFF59,라라 아씨,0.7,-18,-37,4,-1,-30,1,-10,35
SKIN_STAFF60,와부,0.8,9,-25,-3,-25,-6,-47,-16,-47
STAFF12,제레미,0.8,8,-32,-3,7,15,-17,-10,22
STAFF13,라라,0.6,-25,-42,-15,-3,-25,-13,-15,25
STAFF14,와와,0.6,10,-57,-20,-18,10,-30,-20,9
STAFF15,폴,0.6,-10,-42,-40,-3,-10,-17,-33,22
