ID,이름,설명*,역할,패시브,기본속도,능력,스킬 타임,쿨타임,획득 방법 재화,구매가격,구매 최소 평점,채용 필요 설비 or 아이템,강화 수단,강화 가격,강화 조건 평점,LV.2,강화 가격,강화 조건 평점,LV.3,강화 가격,강화 조건 평점,LV.4,강화 가격,강화 조건 평점,LV.5,,,
STAFF01,종업원 지지,부지런하고 성실하게 손님을 맞이하는 친근한 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),6,버닝(패시브 x2.0 배속),7초,200초,코인,4500,10,,코인,6750,20,음식 자동 배달(기본 속도6.5),10125,40,음식 자동 배달(기본 속도7.0),15187,60,음식 자동 배달(기본 속도7.5),22780,80,음식 자동 배달(기본 속도8.0),,,
STAFF02,웨이터 지지,깔끔한 정장 차림으로 정중한 서비스를 제공하는 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도7.0),7,버닝(패시브 x2.0 배속),10초,200초,코인,15000,50,,코인,22500,80,음식 자동 배달(기본 속도7.5),33750,110,음식 자동 배달(기본 속도8.0),50625,140,음식 자동 배달(기본 속도8.5),75937,170,음식 자동 배달(기본 속도9.0),,,
STAFF03,햄버거 지지,햄버거 모자와 유쾌한 복장으로 웃음을 전하는 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도8.0),8,버닝(패시브 x2.0 배속),13초,150초,코인,120000,350,,코인,180000,525,음식 자동 배달(기본 속도8.5),270000,700,음식 자동 배달(기본 속도9.0),405000,875,음식 자동 배달(기본 속도9.5),607500,1050,음식 자동 배달(기본 속도10.0),,,
STAFF04,차이나 지지,밝고 명랑한 차이나풍 복장의 활발한 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도9.0),9,버닝(패시브 x2.0 배속),16초,150초,코인,1050000,4500,,코인,1575000,6750,음식 자동 배달(기본 속도9.5),2362500,9000,음식 자동 배달(기본 속도10.0),3543750,11250,음식 자동 배달(기본 속도10.5),5315625,13500,음식 자동 배달(기본 속도11.0),,,
STAFF05,지지 도령,강한 책임감을 품은 무술 도복 차림의 장난꾸러기 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도10.0),10,버닝(패시브 x2.0 배속),18초,150초,코인,2800000,7800,,코인,4200000,11700,음식 자동 배달(기본 속도10.5),6300000,15600,음식 자동 배달(기본 속도11.0),9450000,19500,음식 자동 배달(기본 속도11.5),14175000,23400,음식 자동 배달(기본 속도12.0),,,
STAFF06,초보 매니저 포야,서툴지만 열심히 일하는 친근한 포야.,매니저,테이블로 손님 자동 배치(3.0초),6,버닝(패시브 x2.0 배속),7초,150초,코인,1000,0,,코인,1500,60,손님 자동 배치(2.8초),2250,80,손님 자동 배치(2.6초),3375,100,손님 자동 배치(2.4초),5062,120,손님 자동 배치(2.2초),,,
STAFF07,매니저 포야,온화한 미소로 손님을 맞으며 매끄러운 식당 운영을 책임지는 포야.,매니저,테이블로 손님 자동 배치(2.7초),6,버닝(패시브 x2.0 배속),10초,150초,코인,80000,200,,코인,120000,300,손님 자동 배치(2.5초),180000,400,손님 자동 배치(2.3초),270000,500,손님 자동 배치(2.1초),405000,600,손님 자동 배치(1.9초),,,
STAFF08,팬 케이크 포야,달콤하게 손님을 맞이하는 포야.,매니저,테이블로 손님 자동 배치(2.4초),6,버닝(패시브 x2.0 배속),13초,150초,코인,150000,650,,코인,225000,975,손님 자동 배치(2.2초),337500,1300,손님 자동 배치(2.0초),506250,1625,손님 자동 배치(1.8초),759375,1950,손님 자동 배치(1.6초),,,
STAFF09,책사 포야,냉철한 전략가 포야. 성이 제갈일 것만 같다.,매니저,테이블로 손님 자동 배치(2.1초),6,버닝(패시브 x2.0 배속),16초,150초,코인,130000,6800,,코인,195000,10200,손님 자동 배치(1.9초),292500,13600,손님 자동 배치(1.7초),438750,17000,손님 자동 배치(1.5초),658125,20400,손님 자동 배치(1.3초),,,
STAFF10,포상궁,궁에서 갈고닦은 솜씨로 레스토랑의 질서를 세우겠어!,매니저,테이블로 손님 자동 배치(1.8초),6,버닝(패시브 x2.0 배속),18초,100초,코인,2500000,7500,,코인,3750000,11250,손님 자동 배치(1.6초),5625000,15000,손님 자동 배치(1.4초),8437500,18750,손님 자동 배치(1.2초),12656250,22500,손님 자동 배치(1.0초),,,
