ID,퀘스트 타입,바로가기 타입,설명,타입 필요 id,필요 개수,보상 타입,보상,,퀘스트 타입,설명,,,바로가기 타입,위치
MainReward01,TYPE05,ShortCut05,초보 매니저 포야 고용하기,STAFF06,1,코인,100,,TYPE01,가구 구매하기,,,ShortCut01,메인 씬
MainReward02,TYPE05,ShortCut05,토루루 고용하기,STAFF11,1,코인,100,,TYPE02,주방 구매하기,,,ShortCut02,주방 씬
MainReward03,TYPE03,ShortCut06,판다 주먹밥 레시피 배우기,FOOD01,1,코인,100,,TYPE03,특정 레시피 구매하기,,,ShortCut03,샵(가구)
MainReward04,TYPE01,ShortCut14,우든 클래식 테이블 1 구매,TABLE01_01,1,코인 ,100,,TYPE04,특정 레시피 제작하기,,,ShortCut04,샵(주방)
MainReward05,TYPE02,ShortCut25,드럼통 화로 1 구매,COOKER01_01,0,코인,100,,TYPE05,특정 스테프 채용하기,,,ShortCut05,샵(스텝)
MainReward06,TYPE09,ShortCut01,누적 방문 손님 50명 달성,,50,코인,1000,,TYPE06,레시피 배우기 누적 횟수 달성,,,ShortCut06,샵(레시피)
MainReward07,TYPE11,ShortCut01,누적 매출 5.000 코인 달성,코인,5000,코인,500,,TYPE07,음식 제작 누적 횟수 달성,,,ShortCut07,가게 관리
MainReward08,TYPE03,ShortCut06,곶감과 우유 레시피 배우기,FOOD02,1,코인,50,,TYPE08,누적 평점 획득 달성,,,ShortCut08,도전 과제
MainReward09,TYPE01,ShortCut15,우든 클래식 테이블 2 구매,TABLE01_02,1,코인,400,,TYPE09,누적 손님 방문 달성,,,ShortCut09,다이어리
MainReward10,TYPE09,ShortCut01,누적 방문 손님 100명 달성,,100,코인,1000,,TYPE10,새로운 방문 손님 달성,,,ShortCut10,캡슐 머신
MainReward11,TYPE11,ShortCut01,누적 매출 10.000 코인 달성,코인,10000,코인,1000,,TYPE11,누적 코인 획득달성,,,ShortCut11,공지 사항
MainReward12,TYPE02,ShortCut26,드럼통 화로 2 구매,COOKER01_02,1,코인,400,,TYPE12,누적 홍보 횟수 달성,,,ShortCut12,출석부
MainReward13,TYPE09,ShortCut01,누적 방문 손님 150명 달성,,150,코인,1500,,TYPE13,"누적 가구(레스토랑, 주방) 개수 달성",,,ShortCut13,환경설정
MainReward14,TYPE11,ShortCut01,누적 매출 20.000 코인 달성,코인,20000,코인,2000,,TYPE14,누적 식당 가구 세트 획득 달성(속성 구분 없이),,,ShortCut14,샵(가구)_테이블1
MainReward15,TYPE01,ShortCut19,디저트 카운터 구매,COUNTER01,1,코인,1500,,TYPE15,누적 주방 가구 세트 획득 달성(속성 구분 없이),,,ShortCut15,샵(가구)_테이블2
MainReward16,TYPE03,ShortCut06,떡볶이 레시피 배우기,FOOD03,1,코인,100,,TYPE16,특정 속성 식당 세트 효과 달성,,,ShortCut16,샵(가구)_테이블3
MainReward17,TYPE01,ShortCut16,우든 클래식 테이블 3 구매,TABLE01_03,1,코인,800,,TYPE17,특정 속성 주방 세트 효과 달성,,,ShortCut17,샵(가구)_테이블4
MainReward18,TYPE02,ShortCut27,드럼통 화로 3 구매,COOKER01_03,1,코인,600,,TYPE18,식당 가구 누적 개수 달성,,,ShortCut18,샵(가구)_테이블5
MainReward19,TYPE08,ShortCut01,누적 평점 50 달성,,50,코인,5000,,TYPE19,주방 가구 누적 개수 달성,,,ShortCut19,샵(가구)_카운터
