RoleKey,GradeKey,StatKey,BaseValue,Unit,MinimumValue,Note
MANAGER,NORMAL,GUIDE_TIME,1.8,SEC,0.4,손님 자동 배치 기준시간
MANAGER,RARE,GUIDE_TIME,1.6,SEC,0.4,손님 자동 배치 기준시간
MANAGER,UNIQUE,GUIDE_TIME,1.4,SEC,0.4,손님 자동 배치 기준시간
MANAGER,SPECIAL,GUIDE_TIME,1.2,SEC,0.4,손님 자동 배치 기준시간
CHEERLEADER,NORMAL,AUTO_CALL_INTERVAL,7,SEC,1,기본 손님 호출간격
CHEERLEADER,RARE,AUTO_CALL_INTERVAL,6,SEC,1,기본 손님 호출간격
CHEERLEADER,UNIQUE,AUTO_CALL_INTERVAL,5,SEC,1,기본 손님 호출간격
CHEERLEADER,SPECIAL,AUTO_CALL_INTERVAL,4,SEC,1,기본 손님 호출간격
CHEF,NORMAL,COOKING_EFFICIENCY,50,PERCENT,0,담당 음식 제작효율
CHEF,RARE,COOKING_EFFICIENCY,70,PERCENT,0,담당 음식 제작효율
CHEF,UNIQUE,COOKING_EFFICIENCY,100,PERCENT,0,담당 음식 제작효율
CHEF,SPECIAL,COOKING_EFFICIENCY,200,PERCENT,0,담당 음식 제작효율
CHEF,NORMAL,MOVE_SPEED,6,SPEED,0,주방장 기본 이동속도
CHEF,RARE,MOVE_SPEED,7,SPEED,0,주방장 기본 이동속도
CHEF,UNIQUE,MOVE_SPEED,8.5,SPEED,0,주방장 기본 이동속도
CHEF,SPECIAL,MOVE_SPEED,10,SPEED,0,주방장 기본 이동속도
WAITER,NORMAL,MOVE_SPEED,6,SPEED,0,웨이터 기본 이동속도
WAITER,RARE,MOVE_SPEED,7,SPEED,0,웨이터 기본 이동속도
WAITER,UNIQUE,MOVE_SPEED,8.5,SPEED,0,웨이터 기본 이동속도
WAITER,SPECIAL,MOVE_SPEED,10,SPEED,0,웨이터 기본 이동속도
CLEANER,NORMAL,MOVE_SPEED,6,SPEED,0,청소부 기본 이동속도
CLEANER,RARE,MOVE_SPEED,7,SPEED,0,청소부 기본 이동속도
CLEANER,UNIQUE,MOVE_SPEED,8.5,SPEED,0,청소부 기본 이동속도
CLEANER,SPECIAL,MOVE_SPEED,10,SPEED,0,청소부 기본 이동속도
CLEANER,NORMAL,CLEANING_TIME,1,SEC,0.4,청소 소모 시간
CLEANER,RARE,CLEANING_TIME,0.8,SEC,0.4,청소 소모 시간
CLEANER,UNIQUE,CLEANING_TIME,0.6,SEC,0.4,청소 소모 시간
CLEANER,SPECIAL,CLEANING_TIME,0.4,SEC,0.4,청소 소모 시간
GUARD,NORMAL,MOVE_SPEED,0,SPEED,0,일반 이동 미사용·진상 손님 위치로 순간이동
GUARD,RARE,MOVE_SPEED,0,SPEED,0,일반 이동 미사용·진상 손님 위치로 순간이동
GUARD,UNIQUE,MOVE_SPEED,0,SPEED,0,일반 이동 미사용·진상 손님 위치로 순간이동
GUARD,SPECIAL,MOVE_SPEED,0,SPEED,0,일반 이동 미사용·진상 손님 위치로 순간이동
GUARD,RARE,TROUBLEMAKER_REMOVE_TIME,6,SEC,0,순간이동 후 진상 손님 퇴치에 걸리는 시간
GUARD,UNIQUE,TROUBLEMAKER_REMOVE_TIME,5,SEC,0,순간이동 후 진상 손님 퇴치에 걸리는 시간
