강화 TYPE ID,강화 내용(숫자는 초록색으로 색 변경),강화,단위,속성
UPGRADE01,전체 손님 기본 이동 속도 +n% 증가,전체 손님 속도 증가,이동속도%,
UPGRADE02,모든 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,
UPGRADE03,내추럴 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,내추럴
UPGRADE04,모던 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,모던
UPGRADE05,빈티지 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,빈티지
UPGRADE06,전통적 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,전통적
UPGRADE07,트로피컬 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,트로피컬
UPGRADE08,럭셔리 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,럭셔리
UPGRADE09,코지 메뉴 제작 시간 n% 단축,메뉴 제작 시간 단축,시간%단축,코지
UPGRADE10,판매하는 모든 메뉴의 가격 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,
UPGRADE11,판매하는 내추럴 메뉴의 수익 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,내추럴
UPGRADE12,판매하는 모던 메뉴의 수익 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,모던
UPGRADE13,판매하는 빈티지 메뉴의 수익 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,빈티지
UPGRADE14,판매하는 전통적 메뉴의 수익 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,전통적
UPGRADE15,판매하는 트로피컬 메뉴의 수익 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,트로피컬
UPGRADE16,판매하는 럭셔리 메뉴의 수익 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,럭셔리
UPGRADE17,판매하는 코지 메뉴의 수익 n% 증가,판매 메뉴 가격 증가,코인 수익%증가,코지
UPGRADE18,전체 스텝 스킬 타임 n% 증가,전체 스텝 스킬 지속시간 증가,지속시간%증가,
UPGRADE19,매니저 스텝 스킬 타임 n% 증가,매니저 스킬 지속시간 증가,지속시간%증가,
UPGRADE20,웨이터 스텝 스킬 타임 n% 증가,웨이터 스킬 지속시간 증가,지속시간%증가,
UPGRADE21,주방장 스텝 스킬 타임 n% 증가,주방장 스킬 지속시간 증가,지속시간%증가,
UPGRADE22,치어리더 스텝 스킬 타임 n% 증가,치어리더 스킬 지속시간 증가,지속시간%증가,
UPGRADE23,청소부 스텝 스킬 타임 n% 증가,청소부 스킬 지속시간 증가,지속시간%증가,
UPGRADE24,가드 스텝 스킬 타임 n% 증가,가드 스킬 지속시간 증가,지속시간%증가,
UPGRADE25,웨이터 스텝 이동 속도 n% 증가,웨이터 이동 속도 증가,이동속도%증가,
UPGRADE26,주방장 스텝 이동 속도 n% 증가,주방장 이동 속도 증가,이동속도%증가,
UPGRADE27,청소부 스텝 이동 속도 n% 증가,청소부 이동 속도 증가,이동속도%증가,
UPGRADE28,가드 스텝 퇴치 속도 n% 증가,가드 퇴치 속도 증가,퇴치속도%증가,
UPGRADE29,피버 타임 n초 증가,피버 타임 증가,SEC,
UPGRADE30,최대 줄서기 손님 n명 증가,최대 줄서기 손님 증가,인원 증가,
