ID,이름,설명*,가챠 확률,희귀도(별),등급,역할,패시브,패시브 설명,기본속도,스킬,스킬 설명,스킬 타임,쿨타임,획득 방법 재화,중복시 지급 토큰,토큰 구매 가격
STAFF01,지지,부지런하고 성실하게 손님을 맞이하는 친근한 지지.,0.6,2,노멀,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),음식을 손님에게 자동 배달,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF02,덕덕,꼼꼼하고 책임감 있는 웨이터 덕덕.,0.6,2,노멀,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),음식을 손님에게 자동 배달,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF03,추추,천방지축 꼬마 웨이터 추추. 사실 지금 뭐하는지 잘 모름,0.6,2,노멀,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),음식을 손님에게 자동 배달,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF04,루피,자기만 월급을 바나나로 받고 있다는 것을 최근에 알게된 루피.,0.6,2,노멀,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),음식을 손님에게 자동 배달,6,STAFF_SKILL05,음식 판매 수입 증가!,30초,200초,"가챠,토큰",5,40
STAFF05,샐린,조용한 에이스. 친구들을 모두 챙기는 엄마같은 샐린.,0.6,2,노멀,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),음식을 손님에게 자동 배달,6,STAFF_SKILL05,음식 판매 수입 증가!,30초,200초,"가챠,토큰",5,40
STAFF06,포야,서툴지만 열심히 일하는 친근한 포야.,0.6,2,노멀,매니저,테이블로 손님 자동 배치(1.8초 소요),테이블로 손님 자동 배치,0,STAFF_SKILL08,손님 이동 속도 증가!,18초,150초,"가챠,토큰",5,40
STAFF07,바쿠,푸근한 매니저 바쿠. 듬직하고 항상 친구들의 고민을 잘 들어준다.,0.6,2,노멀,매니저,테이블로 손님 자동 배치(1.8초 소요),테이블로 손님 자동 배치,0,STAFF_SKILL05,음식 판매 수입 증가!,30초,200초,"가챠,토큰",5,40
STAFF08,판다 마쉬,멜로의 형 마쉬. 동생을 걱정한 나머지 매니저로 취직하고 말았다!,0.6,2,노멀,매니저,테이블로 손님 자동 배치(1.8초 소요),테이블로 손님 자동 배치,0,STAFF_SKILL08,손님 이동 속도 증가!,18초,150초,"가챠,토큰",5,40
STAFF09,루나,처음에 엉망이던 친구들을 보고 차마 지나칠 수 없어 매니저가 된 전직 유치원 선생님 루나.,0.6,2,노멀,매니저,테이블로 손님 자동 배치(1.8초 소요),테이블로 손님 자동 배치,0,STAFF_SKILL06,팁 증가!,30초,200초,"가챠,토큰",5,40
STAFF10,타로,계산이 많이 느리지만 언제나 친절한 나무늘보 타로.,0.6,2,노멀,매니저,테이블로 손님 자동 배치(1.8초 소요),테이블로 손님 자동 배치,0,STAFF_SKILL08,손님 이동 속도 증가!,18초,150초,"가챠,토큰",5,40
STAFF11,토루루,활기차고 발랄한 에너지로 손님을 모아오는 최고의 끼쟁이 토루루.,0.6,2,노멀,치어리더,레스토랑으로 손님 자동 호출(1.0~7.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,15초,160초,"가챠,토큰",5,40
STAFF12,제레미,쇼맨십으로 무장한 레스토랑의 호객왕을 꿈꾸는 제레미.,0.6,2,노멀,치어리더,레스토랑으로 손님 자동 호출(1.0~7.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,15초,160초,"가챠,토큰",5,40
