ID,퀘스트 타입,바로가기 타입,설명,타입 필요 id,필요 개수,보상,,퀘스트 타입,설명,,,바로가기 타입,위치
AllTimeReward01,TYPE21,,"누적 코인 수익 35,000달성",,,"2,000",,TYPE01,가구 - 테이블 구매하기,,,ShortCut01,메인 씬
AllTimeReward02,TYPE22,,누적 홍보 300회 달성,,,"3,000",,TYPE02,가구 - 계산대 구매하기,,,ShortCut02,주방 씬
AllTimeReward03,TYPE19,,누적 평점 50 달성,,,"2,500",,TYPE03,가구 - 벽지 구매하기,,,ShortCut03,샵(가구)
AllTimeReward04,TYPE21,,"누적 코인 수익 85,000달성",,,"4,000",,TYPE04,가구 - 선반 구매하기,,,ShortCut04,샵(주방)
AllTimeReward05,TYPE22,,"누적 홍보 1,000회 달성",,,"5,000",,TYPE05,가구 - 액자 구매하기,,,ShortCut05,샵(스텝)
AllTimeReward06,TYPE23,,누적 가구 설비 5개 해제,,,"3,000",,TYPE06,가구 - 화분 구매하기,,,ShortCut06,샵(레시피)
AllTimeReward07,TYPE35,,누적 주방 설비 5개 해제,,,"5,000",,TYPE07,가구 - 천장 구매하기,,,ShortCut07,가게 관리
AllTimeReward08,TYPE19,,누적 평점 120 달성,,,"5,000",,TYPE08,주방 - 냉장고 구매하기,,,ShortCut08,도전 과제
AllTimeReward09,TYPE23,,누적 가구 설비 8개 해제,,,"8,000",,TYPE09,주방 - 장식장 구매하기,,,ShortCut09,다이어리
AllTimeReward10,TYPE35,,누적 주방 설비 8개 해제,,,"8,000",,TYPE10,주방 - 창문 구매하기,,,ShortCut10,캡슐 머신
AllTimeReward11,TYPE21,,"누적 코인 수익 160,000달성",,,"7,500",,TYPE11,주방 - 그릇 선반 구매하기,,,ShortCut11,공지 사항
AllTimeReward12,TYPE39,,새로운 손님 방문 10명 해제,,,"10,000",,TYPE12,주방 - 싱크대 구매하기,,,ShortCut12,출석부
AllTimeReward13,TYPE19,,누적 평점 250 달성,,,"3,000",,TYPE13,주방 - 조리기 구매하기,,,ShortCut13,환경설정
AllTimeReward14,TYPE18,,종업원 지지 고용하기,STAFF01,1,"8,000",,TYPE14,주방 - 조리 도구 선반 구매하기,,,,
AllTimeReward15,TYPE33,,누적 레시피 10개 달성,,,"8,000",,TYPE15,주방 - 주방 선반 구매하기,,,,
AllTimeReward16,TYPE23,,누적 가구 설비 12개 해제,,,"10,000",,TYPE16,특정 레시피 구매하기,,,,
AllTimeReward17,TYPE35,,누적 주방 설비 12개 해제,,,"10,000",,TYPE17,특정 레시피 제작하기,,,,
AllTimeReward18,TYPE22,,"누적 홍보 4,500회 달성",,,"8,000",,TYPE18,특정 스테프 채용하기,,,,
AllTimeReward19,TYPE19,,누적 평점 300 달성,,,"10,000",,TYPE19,누적 평점 획득 달성,,,,
AllTimeReward20,TYPE20,,누적 방문 손님 500명 달성,,,"10,000",,TYPE20,누적 손님 방문 달성,,,,
AllTimeReward21,TYPE34,,누적 쓰레기 청소 25회 달성,,,"8,000",,TYPE21,누적 코인 획득달성,,,,
AllTimeReward22,TYPE21,,"누적 코인 수익 350,000달성",,,"10,000",,TYPE22,누적 홍보 횟수 달성,,,,
AllTimeReward23,TYPE29,,누적 캡슐 머신 사용 10회 달성,,,"10,000",,TYPE23,누적 가구 개수 달성,,,,
AllTimeReward24,TYPE37,,평범한 레스토랑 세트 획득,,,"15,000",,TYPE24,도둑 손님 퇴치 횟수 달성,,,,
AllTimeReward25,TYPE38,,평범한 주방 세트 획득,,,"15,000",,TYPE25,스페셜 손님 방문 횟수 달성,,,,
AllTimeReward26,TYPE22,,"누적 홍보 7,000회 달성",,,"15,000",,TYPE26,락커 손님 퇴치 횟수 달성,,,,
AllTimeReward27,TYPE21,,"누적 코인 수익 700,000달성",,,"15,000",,TYPE27,진상 손님 퇴치 횟수 달성,,,,
AllTimeReward28,TYPE19,,누적 평점 500 달성,,,"15,000",,TYPE28,누적 광고 시청 횟수 달성,,,,
AllTimeReward29,TYPE37,,모던한 레스토랑 세트 획득,,,"20,000",,TYPE29,누적 캡슐 머신 사용 횟수 달성,,,,
AllTimeReward30,TYPE33,,누적 레시피 15개 달성,,,"15,000",,TYPE30,누적 캡슐 아이템 획득 달성,,,,
AllTimeReward31,TYPE38,,모던한 주방 세트 획득,,,"20,000",,TYPE31,특정 캡슐 아이템 획득 달성,,,,
AllTimeReward32,TYPE20,,누적 방문 손님 700명 달성,,,"15,000",,TYPE32,누적 레스토랑가구 세트 획득 달성,,,,
AllTimeReward33,TYPE29,,누적 캡슐 머신 사용 20회 달성,,,"20,000",,TYPE33,누적 레시피 달성,,,,
AllTimeReward34,TYPE18,,케이크 루파 고용하기,STAFF18,1,"20,000",,TYPE34,누적 쓰레기 청소 달성,,,,
AllTimeReward35,TYPE32,,누적 가구 설비 20개 해제,,,"15,000",,TYPE35,누적 주방 개수 달성,,,,
AllTimeReward36,TYPE35,,누적 주방 설비 20개 해제,,,"15,000",,TYPE36,누적 주방 세트 획득 달성,,,,
AllTimeReward37,TYPE37,,빈티지 레스토랑 세트 획득,,,"25,000",,TYPE37,특정 레스토랑 가구 세트 획득,,,,
AllTimeReward38,TYPE38,,빈티지 주방 세트 획득,,,"25,000",,TYPE38,특정 주방 세트 획득,,,,
AllTimeReward39,TYPE20,,"누적 방문 손님 1,500명 달성",,,"20,000",,TYPE39,새로운 방문 손님 달성,,,,
AllTimeReward40,TYPE33,,누적 레시피 25개 달성,,,"20,000",,,,,,,
AllTimeReward41,TYPE39,,새로운 손님 방문 25명 해제,,,"15,000",,,,,,,
AllTimeReward42,TYPE19,,누적 평점 800 달성,,,"20,000",,,,,,,
AllTimeReward43,TYPE37,,화려한 레스토랑 세트 획득,,,"30,000",,,,,,,
AllTimeReward44,TYPE38,,화려한 주방 세트 획득,,,"30,000",,,,,,,
AllTimeReward45,TYPE39,,새로운 손님 방문 45명 해제,,,"30,000",,,,,,,
AllTimeReward46,TYPE29,,누적 캡슐 머신 사용 30회 달성,,,"30,000",,,,,,,
AllTimeReward47,TYPE21,,"누적 코인 수익 1,000,000달성",,,"20,000",,,,,,,
AllTimeReward48,TYPE24,,도둑 손님 퇴치 10회 달성,,,"10,000",,,,,,,
AllTimeReward49,TYPE30,,누적 캡슐 아이템 30개 획득 달성,,,"50,000",,,,,,,
AllTimeReward50,TYPE33,,누적 레시피 50개 달성,,,"30,000",,,,,,,
AllTimeReward51,TYPE39,,새로운 손님 방문 55명 해제,,,"100,000",,,,,,,
AllTimeReward52,TYPE19,,"누적 평점 1,500 달성",,,"30,000",,,,,,,
AllTimeReward53,TYPE32,,누적 가구 설비 35개 해제,,,"20,000",,,,,,,
AllTimeReward54,TYPE35,,누적 주방 설비 35개 해제,,,"20,000",,,,,,,
AllTimeReward55,TYPE34,,누적 쓰레기 청소 80회 달성,,,"35,000",,,,,,,
AllTimeReward56,TYPE29,,누적 캡슐 머신 사용 40회 달성,,,"40,000",,,,,,,
AllTimeReward57,TYPE21,,"누적 코인 수익 1,500,000달성",,,"30,000",,,,,,,
AllTimeReward58,TYPE39,,새로운 손님 방문 66명 해제,,,"150,000",,,,,,,
AllTimeReward59,TYPE33,,누적 레시피 60개 달성,,,"100,000",,,,,,,
AllTimeReward60,TYPE20,,"누적 방문 손님 3,000명 달성",,,"25,000",,,,,,,
AllTimeReward61,TYPE30,,누적 캡슐 아이템 50개 획득 달성,,,"100,000",,,,,,,
AllTimeReward62,TYPE22,,"누적 홍보 15,000회 달성",,,"20,000",,,,,,,
AllTimeReward63,TYPE37,,전통적인 레스토랑 세트 획득,,,"40,000",,,,,,,
AllTimeReward64,TYPE38,,전통적인 주방 세트 획득,,,"40,000",,,,,,,
AllTimeReward65,TYPE29,,누적 캡슐 머신 사용 50회 달성,,,"50,000",,,,,,,
AllTimeReward66,TYPE19,,"누적 평점 1,800 달성",,,"40,000",,,,,,,
AllTimeReward67,TYPE26,,락커 손님 퇴치 10회 달성,,,"25,000",,,,,,,
AllTimeReward68,TYPE24,,도둑 손님 퇴치 20회 달성,,,"20,000",,,,,,,
AllTimeReward69,TYPE20,,"누적 방문 손님 4,500명 달성",,,"30,000",,,,,,,
AllTimeReward70,TYPE39,,새로운 손님 방문 77명 해제,,,"300,000",,,,,,,
AllTimeReward71,TYPE28,,광고 시청 누적 100회 달성,,,"30,000",,,,,,,
AllTimeReward72,TYPE30,,누적 캡슐 아이템 75개 획득 달성,,,"150,000",,,,,,,
AllTimeReward73,TYPE22,,"누적 홍보 30,000회 달성",,,"50,000",,,,,,,
AllTimeReward74,TYPE21,,"누적 코인 수익 3,000,000달성",,,"40,000",,,,,,,
AllTimeReward75,TYPE18,,판다 멜로 고용하기,STAFF21,1,"200,000",,,,,,,
AllTimeReward76,TYPE34,,누적 쓰레기 청소 160회 달성,,,"70,000",,,,,,,
AllTimeReward77,TYPE19,,"누적 평점 2,500 달성",,,"90,000",,,,,,,
AllTimeReward78,TYPE28,,광고 시청 누적 200회 달성,,,"50,000",,,,,,,
AllTimeReward79,TYPE26,,락커 손님 퇴치 20회 달성,,,"50,000",,,,,,,
AllTimeReward80,TYPE20,,"누적 방문 손님 9,000명 달성",,,"40,000",,,,,,,
AllTimeReward81,TYPE19,,"누적 평점 4,000 달성",,,"150,000",,,,,,,
AllTimeReward82,TYPE29,,누적 캡슐 머신 사용 50회 달성,,,"60,000",,,,,,,
AllTimeReward83,TYPE19,,"누적 평점 2,800 달성",,,"120,000",,,,,,,
AllTimeReward84,TYPE28,,광고 시청 누적 300회 달성,,,"70,000",,,,,,,
AllTimeReward85,TYPE18,,베르베르 고용하기,STAFF26,1,"350,000",,,,,,,
AllTimeReward86,TYPE20,,"누적 방문 손님 15,000명 달성",,,"75,000",,,,,,,
AllTimeReward87,TYPE34,,누적 쓰레기 청소 250회 달성,,,"75,000",,,,,,,
AllTimeReward88,TYPE20,,"누적 방문 손님 30,000명 달성",,,"100,000",,,,,,,
AllTimeReward89,TYPE18,,미스터 백 고용하기,STAFF27,1,"500,000",,,,,,,
